Observed,strata,x-val,y-val,resource
1,0,81,29,-0.0950229
1,1,96,92,0.7426245
1,2,71,2,1.6219840
1,3,33,53,1.0219630
1,4,63,19,0.5805015
1,5,83,4,2.1901920
1,6,80,20,-0.4311193
1,7,6,2,1.8357970
1,8,1,84,0.5600001
1,9,34,9,0.0734644
1,10,10,86,0.1716466
1,11,4,61,0.8355227
1,12,63,13,0.4142626
1,13,49,17,0.1649397
1,14,12,22,0.7646435
1,15,90,5,2.5090900
1,16,79,15,0.4224481
1,17,84,57,-0.5796202
1,18,17,26,0.5089404
1,19,7,3,1.8900620
1,20,18,61,-0.0635507
1,21,66,27,-0.7257094
1,22,8,52,0.0869596
1,23,55,0,-0.0554832
1,24,71,15,0.0186579
1,25,91,9,0.5980845
1,26,4,62,1.9135800
1,27,76,14,0.7750795
1,28,84,6,2.6439770
1,29,2,83,-0.0994193
1,30,76,1,1.3229840
1,31,76,7,2.3000000
1,32,60,83,0.3511847
1,33,56,15,-1.5902720
1,34,46,99,-0.8100759
1,35,16,91,-0.3658795
1,36,78,42,-0.3865415
1,37,20,3,2.1414660
1,38,0,100,1.1080090
1,39,85,25,0.4584124
1,40,11,3,0.9260690
1,41,39,48,0.5556127
1,42,87,8,1.8035730
1,43,3,5,1.0205410
1,44,0,97,1.0002620
1,45,75,6,2.3006530
1,46,93,37,-0.1786497
1,47,7,55,0.6271712
1,48,45,7,1.5363320
1,49,72,41,-1.8483790
1,50,22,3,1.9558770
1,51,37,15,1.3121660
1,52,52,8,1.3142050
1,53,1,2,0.5679915
1,54,78,62,0.7469046
1,55,75,7,2.5520140
1,56,40,67,0.1392766
1,57,19,38,-0.0630659
1,58,33,74,0.1548263
1,59,41,76,0.0020497
1,60,76,57,1.6132700
1,61,0,75,0.2264479
1,62,94,27,1.4159630
1,63,40,38,0.5657717
1,64,77,9,1.7219100
1,65,36,58,0.0989698
1,66,35,51,0.9361374
1,67,12,58,0.0416304
1,68,53,14,-0.9021650
1,69,16,45,-0.4302299
1,70,90,5,2.5090900
1,71,50,0,0.4441330
1,72,33,46,0.4363672
1,73,19,87,0.2877151
1,74,23,2,1.7626630
1,75,50,49,-1.8689030
1,76,86,24,1.4269690
1,77,65,48,-0.2510165
1,78,80,66,-0.3133251
1,79,73,9,1.3127110
1,80,5,6,0.7926864
1,81,67,16,-0.3278778
1,82,31,19,0.8215508
1,83,1,43,-0.3140412
1,84,98,92,0.5819680
1,85,28,4,1.1556070
1,86,39,12,1.7997170
1,87,45,0,0.4877729
1,88,48,17,0.6894984
1,89,12,62,0.1827601
1,90,1,39,-0.2882184
1,91,48,7,0.7143285
1,92,44,29,-0.7399072
1,93,27,12,0.8991137
1,94,61,57,0.7286553
1,95,23,7,1.5332850
1,96,94,78,1.2729890
1,97,9,37,-0.5739841
1,98,58,77,0.2788026
1,99,52,55,0.2059826
1,100,0,9,-0.4228024
1,101,57,90,0.7715962
1,102,98,22,0.9421485
1,103,7,64,0.6462439
1,104,83,2,1.4732980
1,105,19,47,0.1447056
1,106,69,61,1.0729630
1,107,89,81,-0.0461010
1,108,32,70,-0.5681820
1,109,23,99,-0.7819316
1,110,68,65,1.5602810
1,111,6,1,1.6456120
1,112,44,6,1.1630580
1,113,39,22,0.5024407
1,114,63,62,1.2044020
1,115,87,3,2.1508630
1,116,88,30,1.3014830
1,117,15,68,0.5137022
1,118,11,0,1.4596350
1,119,18,50,0.7638358
1,120,12,57,0.5247005
1,121,65,74,-0.2319131
1,122,90,6,1.6938830
1,123,22,56,1.2751880
1,124,62,64,1.5502150
1,125,97,97,0.6651234
1,126,75,61,1.2070800
1,127,92,68,-1.8865940
1,128,99,31,0.0805711
1,129,70,83,-1.9112280
1,130,94,75,0.2462517
1,131,11,29,0.1868928
1,132,43,30,-1.1816700
1,133,72,0,1.1002500
1,134,82,37,-0.0326758
1,135,69,10,0.5256861
1,136,40,13,1.3698700
1,137,67,1,0.7129948
1,138,56,97,1.8770510
1,139,66,4,1.1447570
1,140,61,97,-0.2299644
1,141,39,97,0.2460463
1,142,95,35,0.3460393
1,143,28,75,0.0952962
1,144,7,72,0.4833679
1,145,66,60,0.4802481
1,146,82,22,-0.2837881
1,147,31,48,0.6655503
1,148,5,1,1.3844450
1,149,11,10,-0.6788320
1,150,83,90,-0.9404118
1,151,39,94,0.5857288
1,152,99,63,-0.0330875
1,153,41,16,1.7806600
1,154,90,33,0.1137526
1,155,26,100,-0.3107305
1,156,52,29,-0.3204246
1,157,34,61,0.1976555
1,158,12,67,0.2348871
1,159,74,48,-0.3032674
1,160,5,28,1.2172770
1,161,9,61,1.0850000
1,162,93,42,-0.2538604
1,163,1,55,0.6225218
1,164,21,87,0.6537611
1,165,57,18,-0.8188539
1,166,67,8,1.4917190
1,167,65,72,1.0765600
1,168,48,27,-0.0793284
1,169,69,74,0.2051071
1,170,88,16,0.4222672
1,171,30,77,0.2868930
1,172,37,79,0.2073003
1,173,74,1,1.0663600
1,174,18,36,0.4882823
1,175,85,11,1.2766990
1,176,100,23,1.3815270
1,177,74,1,1.0663600
1,178,35,92,0.2484071
1,179,1,30,-1.0966970
1,180,37,48,1.3850680
1,181,60,61,0.8547856
1,182,73,4,0.9237030
1,183,45,6,0.8115361
1,184,62,63,1.0326020
1,185,60,67,0.3665914
1,186,62,98,0.3090216
1,187,31,23,-0.2112358
1,188,31,15,2.0909110
1,189,87,59,-0.7704437
1,190,74,4,1.3258640
1,191,1,68,-0.7588188
1,192,20,100,-0.7099712
1,193,65,62,1.4764410
1,194,34,51,0.6359276
1,195,23,5,1.5516150
1,196,77,7,2.5135510
1,197,42,10,0.7768994
1,198,35,91,0.2583483
1,199,72,5,0.8497394
0,0,77,23,-0.8807254
0,0,50,96,0.3146079
0,0,56,87,0.3857442
0,0,97,84,-0.2685376
0,0,9,24,1.8982290
0,0,18,37,-0.2604753
0,0,56,71,-0.2002393
0,0,80,83,-1.4680140
0,0,71,38,-1.7568310
0,0,16,25,0.9229672
0,1,66,25,-0.4853891
0,1,62,8,-0.0331994
0,1,97,63,0.3645978
0,1,53,97,0.9834425
0,1,98,14,-0.3227664
0,1,1,61,0.5831764
0,1,25,7,2.0547470
0,1,83,25,0.6630659
0,1,60,41,-0.8246154
0,1,40,52,-0.7736375
0,2,40,17,1.1047510
0,2,68,51,-0.7122297
0,2,66,76,-0.1817399
0,2,90,25,0.8030233
0,2,12,58,0.0416304
0,2,75,69,0.9442655
0,2,33,10,0.9458396
0,2,86,86,-0.0038336
0,2,59,39,-1.0048940
0,2,75,91,-1.5832050
0,3,0,20,-0.0859578
0,3,9,4,1.0216080
0,3,39,29,-0.6850062
0,3,95,2,-0.8891924
0,3,65,33,-1.5935990
0,3,32,89,-0.8763419
0,3,78,77,-0.6802234
0,3,44,31,-0.9806290
0,3,82,91,-0.6245181
0,3,3,99,-0.2117531
0,4,39,9,1.1192330
0,4,41,12,1.2437060
0,4,39,25,-0.1322526
0,4,64,3,0.2697388
0,4,40,25,-0.1619436
0,4,66,36,-1.5579950
0,4,38,56,0.0993733
0,4,16,94,0.4595835
0,4,77,99,-1.2239070
0,4,77,5,1.3435400
0,5,85,38,-0.6880241
0,5,99,5,-0.4113987
0,5,8,59,1.0275810
0,5,38,41,0.2083733
0,5,14,78,-0.3252372
0,5,56,35,-1.9091820
0,5,75,43,-1.3989340
0,5,46,6,0.8988096
0,5,81,98,-0.4930032
0,5,96,40,-1.1058270
0,6,35,43,0.7520282
0,6,83,31,-0.0008758
0,6,78,70,-0.0444383
0,6,67,11,0.4277880
0,6,67,65,1.9424850
0,6,63,87,-1.4071270
0,6,15,89,-1.1041400
0,6,28,75,0.0952962
0,6,75,87,-1.9973000
0,6,58,93,0.6613471
0,7,7,73,0.5799334
0,7,44,7,0.9576306
0,7,7,91,-1.0586480
0,7,4,87,-0.4493664
0,7,7,88,0.1862868
0,7,51,18,-0.2299079
0,7,34,46,1.0191280
0,7,18,61,-0.0635507
0,7,89,32,0.7244470
0,7,29,42,-1.4244590
0,8,81,28,-0.2015990
0,8,17,37,0.2725998
0,8,16,45,-0.4302299
0,8,96,10,0.4216180
0,8,99,78,0.4170467
0,8,11,96,-0.9794486
0,8,94,25,0.4719028
0,8,83,69,-1.8000650
0,8,96,62,-0.1127485
0,8,73,62,0.2391889
0,9,83,68,-1.2724590
0,9,32,56,-0.5235237
0,9,92,85,0.6980135
0,9,30,41,-0.4255197
0,9,32,59,-0.3701255
0,9,13,18,-1.1236300
0,9,76,59,1.5081080
0,9,67,42,-1.7667970
0,9,69,4,0.6529805
0,9,72,40,-2.2339100
0,10,37,94,-0.0523032
0,10,81,76,-1.1130440
