Observed,strata,x-val,y-val,resource
1,0,83,6,2.9456110
1,1,76,6,2.5767310
1,2,83,6,2.9456110
1,3,83,5,2.9620360
1,4,83,6,2.9456110
1,5,83,6,2.9456110
1,6,83,7,2.5765490
1,7,84,6,2.6439770
1,8,83,5,2.9620360
1,9,84,6,2.6439770
1,10,83,6,2.9456110
1,11,83,5,2.9620360
1,12,83,5,2.9620360
1,13,90,5,2.5090900
1,14,76,66,2.5387070
1,15,76,66,2.5387070
1,16,29,58,1.8345630
1,17,88,26,2.1223950
1,18,83,6,2.9456110
1,19,83,5,2.9620360
1,20,73,8,1.6758760
1,21,21,5,2.2397410
1,22,83,6,2.9456110
1,23,68,72,1.4097160
1,24,83,6,2.9456110
1,25,5,61,1.5743420
1,26,42,18,1.5766780
1,27,83,5,2.9620360
1,28,83,6,2.9456110
1,29,83,5,2.9620360
1,30,83,6,2.9456110
1,31,23,4,2.4229630
1,32,40,15,2.2075010
1,33,83,6,2.9456110
1,34,84,6,2.6439770
1,35,83,6,2.9456110
1,36,83,6,2.9456110
1,37,83,6,2.9456110
1,38,83,6,2.9456110
1,39,83,6,2.9456110
1,40,86,3,2.0401580
1,41,75,3,1.8324590
1,42,76,66,2.5387070
1,43,83,5,2.9620360
1,44,83,6,2.9456110
1,45,77,7,2.5135510
1,46,76,8,2.5101910
1,47,76,66,2.5387070
1,48,83,5,2.9620360
1,49,88,2,1.5425770
1,50,40,15,2.2075010
1,51,83,5,2.9620360
1,52,50,16,0.9965692
1,53,83,5,2.9620360
1,54,82,6,2.7139460
1,55,83,5,2.9620360
1,56,100,21,1.7320750
1,57,83,5,2.9620360
1,58,84,5,2.6471850
1,59,83,5,2.9620360
1,60,32,14,2.2675680
1,61,76,6,2.5767310
1,62,75,7,2.5520140
1,63,83,5,2.9620360
1,64,76,66,2.5387070
1,65,76,8,2.5101910
1,66,83,6,2.9456110
1,67,18,3,1.7225440
1,68,83,5,2.9620360
1,69,82,6,2.7139460
1,70,83,5,2.9620360
1,71,36,47,2.0538430
1,72,84,6,2.6439770
1,73,84,5,2.6471850
1,74,89,5,2.3483120
1,75,83,5,2.9620360
1,76,84,5,2.6471850
1,77,83,7,2.5765490
1,78,82,6,2.7139460
1,79,83,7,2.5765490
1,80,76,10,1.4847920
1,81,21,5,2.2397410
1,82,76,6,2.5767310
1,83,82,6,2.7139460
1,84,83,6,2.9456110
1,85,75,7,2.5520140
1,86,84,5,2.6471850
1,87,83,5,2.9620360
1,88,76,8,2.5101910
1,89,76,66,2.5387070
1,90,82,7,2.3753710
1,91,31,14,2.1017030
1,92,83,5,2.9620360
1,93,75,7,2.5520140
1,94,89,31,0.8623190
1,95,83,6,2.9456110
1,96,42,86,1.2185950
1,97,88,5,2.2283080
1,98,19,3,2.1309860
1,99,83,6,2.9456110
1,100,90,4,1.8441710
1,101,40,15,2.2075010
1,102,90,5,2.5090900
1,103,84,5,2.6471850
1,104,83,6,2.9456110
1,105,30,13,1.6339630
1,106,30,15,1.8290990
1,107,83,6,2.9456110
1,108,33,14,1.5945270
1,109,83,5,2.9620360
1,110,83,6,2.9456110
1,111,9,7,0.3073578
1,112,25,6,1.8774580
1,113,58,95,1.1175100
1,114,25,8,1.7478710
1,115,37,13,2.3102430
1,116,31,15,2.0909110
1,117,31,13,1.8298920
1,118,83,6,2.9456110
1,119,83,6,2.9456110
1,120,82,6,2.7139460
1,121,76,12,2.0464800
1,122,83,5,2.9620360
1,123,83,5,2.9620360
1,124,83,5,2.9620360
1,125,23,4,2.4229630
1,126,73,8,1.6758760
1,127,83,5,2.9620360
1,128,75,6,2.3006530
1,129,83,5,2.9620360
1,130,23,3,2.3424970
1,131,83,6,2.9456110
1,132,87,3,2.1508630
1,133,84,6,2.6439770
1,134,76,8,2.5101910
1,135,83,6,2.9456110
1,136,83,6,2.9456110
1,137,84,5,2.6471850
1,138,74,9,1.7421240
1,139,83,6,2.9456110
1,140,83,5,2.9620360
1,141,83,5,2.9620360
1,142,83,5,2.9620360
1,143,83,5,2.9620360
1,144,88,5,2.2283080
1,145,83,6,2.9456110
1,146,83,5,2.9620360
1,147,83,5,2.9620360
1,148,83,5,2.9620360
1,149,74,7,2.2729140
1,150,32,15,2.3173560
1,151,83,3,2.1652540
1,152,83,5,2.9620360
1,153,83,5,2.9620360
1,154,83,6,2.9456110
1,155,83,5,2.9620360
1,156,76,6,2.5767310
1,157,76,7,2.3000000
1,158,83,6,2.9456110
1,159,83,7,2.5765490
1,160,84,5,2.6471850
1,161,83,5,2.9620360
1,162,76,8,2.5101910
1,163,89,4,2.1885290
1,164,84,5,2.6471850
1,165,82,4,2.1227400
1,166,83,5,2.9620360
1,167,88,26,2.1223950
1,168,76,66,2.5387070
1,169,36,47,2.0538430
1,170,22,6,1.9417030
1,171,83,5,2.9620360
1,172,83,5,2.9620360
1,173,76,13,1.8033710
1,174,4,63,2.0044540
1,175,84,7,2.2449940
1,176,76,66,2.5387070
1,177,82,5,2.1337520
1,178,84,6,2.6439770
1,179,83,6,2.9456110
1,180,82,6,2.7139460
1,181,83,5,2.9620360
1,182,83,5,2.9620360
1,183,83,6,2.9456110
1,184,83,6,2.9456110
1,185,56,97,1.8770510
1,186,83,3,2.1652540
1,187,83,5,2.9620360
1,188,83,5,2.9620360
1,189,77,7,2.5135510
1,190,82,6,2.7139460
1,191,35,46,2.0883380
1,192,83,5,2.9620360
1,193,83,5,2.9620360
1,194,83,6,2.9456110
1,195,83,6,2.9456110
1,196,83,6,2.9456110
1,197,83,6,2.9456110
1,198,83,6,2.9456110
1,199,82,7,2.3753710
0,0,0,31,-0.9001929
0,0,12,40,-1.5548630
0,0,22,7,1.1924760
0,0,32,82,0.8052396
0,0,99,93,-0.5801496
0,0,2,17,-0.4939301
0,0,39,55,-1.0634330
0,0,12,95,-0.0720573
0,0,93,2,-0.6639891
0,0,1,16,-0.7405491
0,1,73,36,-2.3873830
0,1,52,20,-1.6568090
0,1,34,35,-0.1700218
0,1,73,47,-1.1609320
0,1,2,4,1.2561390
0,1,24,13,-0.9775301
0,1,36,21,0.8107886
0,1,24,74,-0.3324794
0,1,56,36,-1.4632450
0,1,8,0,1.5940160
0,2,74,66,1.0778940
0,2,36,48,1.2083740
0,2,62,87,-0.5640953
0,2,80,98,-0.4706740
0,2,63,82,0.6709618
0,2,41,60,-1.4250700
0,2,31,99,-0.8933049
0,2,18,9,-0.6555228
0,2,35,33,-0.5110826
0,2,96,42,-1.2624400
0,3,80,42,-0.3804426
0,3,88,98,-0.4877795
0,3,16,71,0.5662464
0,3,48,55,-1.5438390
0,3,2,58,0.5687375
0,3,61,79,-0.0746862
0,3,73,14,0.8669901
0,3,37,15,1.3121660
0,3,31,44,0.0619004
0,3,38,44,0.4429555
0,4,7,42,-1.6822330
0,4,95,8,0.3934525
